model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight
xgboost_weighted,0,0.8304900862950173,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9731049528203444,0.7000000000000001,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,73800,0.6310679611650486,0.8227848101265823,0.7142857142857143,14,38,574,12,0.07441632389160634,0.9466503798478173,0.5780093202212182,0.5779972601681014,3.3323645788192616e-08,0.6245760287469887,0.002570603566117596,860.2001272209712
xgboost_weighted,1,0.8206545415560655,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.974851615739723,0.54,0.953125,0.7721518987341772,0.8531468531468531,0.02,81200,0.84,0.7974683544303798,0.8181818181818182,16,12,220,12,0.10779361932748845,0.05022706182399988,0.5909124836035503,0.5917022549267169,5.472429642032189e-06,0.00052821153945323,7.71800699380605e-05,438.8154119500249
xgboost_weighted,2,0.8257395810243398,0.7590361445783133,0.7974683544303798,0.7777777777777778,0.976421024512273,0.93,0.9242424242424242,0.7721518987341772,0.8413793103448276,0.17,67700,0.4652777777777778,0.8481012658227848,0.600896860986547,12,77,812,4,0.014689372953975089,0.1619464506050546,0.728034992108518,0.8925879806965068,6.267062696005991e-07,0.00042472707398058225,0.0021465011216654484,191.36995622428933
xgboost_weighted,3,0.7483458806198096,0.23943661971830985,0.8607594936708861,0.3746556473829201,0.975733573382382,0.97,0.8695652173913043,0.759493670886076,0.8108108108108109,0.85,68100,0.6804123711340206,0.8354430379746836,0.75,13,31,808,4,0.006356039080497238,13.561246837383377,0.9828160165372797,0.9041986740582306,5.514725787121931e-06,7.569183361880229e-08,0.01439120761572808,589.3612026932232
xgboost_weighted,4,0.7744362980948302,0.7441860465116279,0.810126582278481,0.7757575757575758,0.971817842842077,0.6,0.8051948051948052,0.7848101265822784,0.7948717948717948,0.38,65200,0.5630252100840336,0.8481012658227848,0.6767676767676768,12,52,322,7,0.005676262589955587,10.039080181561518,0.6293899908000085,0.831261142176991,6.388511557344611e-06,0.0004793052550782129,0.0008325158565947969,331.28183418505
xgboost_weighted,5,0.8310142820727789,0.9,0.7974683544303798,0.8456375838926175,0.9791288111728548,0.38,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.38,70800,0.8904109589041096,0.8227848101265823,0.8552631578947368,14,8,1170,10,0.15999399049657154,8.99190944734375,0.7989499894055425,0.9609371175115584,6.257956190096665e-08,5.805581976088804e-07,2.5529693461039728e-08,473.28811604134955
xgboost_weighted,6,0.8383640844006062,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9754810488325436,0.18000000000000002,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.06999999999999999,71200,0.8441558441558441,0.8227848101265823,0.8333333333333334,14,12,589,5,0.10633034207853799,0.15054052714725988,0.6404672548436904,0.7713480415791243,1.8548894229694903e-07,0.16587190283399628,4.6876566400928895e-08,1142.0520135677518
xgboost_weighted,7,0.7583980632870969,0.4230769230769231,0.8354430379746836,0.5617021276595745,0.9771762329180708,0.9600000000000001,0.8939393939393939,0.7468354430379747,0.8137931034482758,0.6,70800,0.532258064516129,0.8354430379746836,0.6502463054187192,13,58,973,4,0.005102896587491044,4.918839315632672,0.8534286719238086,0.8645035840204937,0.08738424135626989,4.638759594322625e-08,1.683416412018213e-05,261.54488062044834
xgboost_weighted,8,0.829128714204382,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9735204009227233,0.65,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,69700,0.584070796460177,0.8354430379746836,0.6875,13,47,1063,9,0.01694683071232564,0.016210933370464226,0.6554911608578311,0.6625916610133735,0.03685153691188181,0.005470376807480385,0.9658611176861261,621.7729364934557
xgboost_weighted,9,0.839562877299204,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9793272133811577,0.8300000000000001,0.953125,0.7721518987341772,0.8531468531468531,0.01,72200,0.7471264367816092,0.8227848101265823,0.7831325301204819,14,22,319,10,0.08275481892245508,0.7125131189145292,0.8854835899772805,0.7468977981821954,0.0005065186776865479,7.04480806377519e-05,1.6934490731313353e-08,253.48033621420691
xgboost_weighted,10,0.8094002205330949,0.8051948051948052,0.7848101265822784,0.7948717948717948,0.9776008637313528,0.93,0.953125,0.7721518987341772,0.8531468531468531,0.11,68800,0.6346153846153846,0.8354430379746836,0.7213114754098361,13,38,466,7,0.039486473814328724,1.2941750611595952,0.9875707621163746,0.7340277259511059,4.3444691085504035,3.995152267446128e-06,3.3316309468938208,890.8635549729897
xgboost_weighted,11,0.8260117542797808,0.8181818181818182,0.7974683544303798,0.8076923076923077,0.9760094721054287,0.99,0.9682539682539683,0.7721518987341772,0.8591549295774648,0.04,65400,0.5537190082644629,0.8481012658227848,0.67,12,54,558,7,0.06122084047672805,0.2871228981713224,0.8742784962035658,0.7573364635093492,0.0005610628896267726,8.556445349925395,1.1147214235018128e-08,1083.744702898218
xgboost_weighted,12,0.8296819457393789,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9794632844609054,0.59,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.03,71200,0.8441558441558441,0.8227848101265823,0.8333333333333334,14,12,402,9,0.19478809915325856,0.23915500906528087,0.5360030250325667,0.7374817250053208,0.0004497924164052474,0.025574091808629934,5.818138967037552e-07,1144.1350234010781
xgboost_weighted,13,0.8347282007453524,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9751613235347316,0.63,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.04,66900,0.7764705882352941,0.8354430379746836,0.8048780487804879,13,19,638,6,0.03727573784133242,1.3345823763710647,0.7128516862324583,0.7902878772868397,0.0003433749161628793,7.671661419176251e-06,4.6487656611472807e-07,807.4995215706258
xgboost_weighted,14,0.8125779007478515,0.584070796460177,0.8354430379746836,0.6875,0.9757662693984768,0.93,0.8767123287671232,0.810126582278481,0.8421052631578947,0.55,68500,0.6534653465346535,0.8354430379746836,0.7333333333333333,13,35,242,3,0.10472321973161094,0.07917752388180457,0.910236126593346,0.6712579934183031,0.012316680067561536,0.14184312049385928,3.057738947810651e-07,986.0276420749717
xgboost_weighted,15,0.8343028985317645,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.9741097640043298,0.63,0.953125,0.7721518987341772,0.8531468531468531,0.04,71500,0.8125,0.8227848101265823,0.8176100628930818,14,15,707,10,0.047319593428459525,0.5305937893343213,0.5023700598265448,0.510456783241702,1.0567232771264724e-08,6.929996548668476e-05,6.069295104226474e-06,700.1530525553766
xgboost_weighted,16,0.8127296629961477,0.7875,0.7974683544303798,0.7924528301886793,0.9765181386366736,0.92,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.12,69900,0.5739130434782609,0.8354430379746836,0.6804123711340206,13,49,433,6,0.02372547475464336,3.4510062381626323,0.7929841127845034,0.6824896572809886,3.4973937212082427,2.1708423605396243,5.223990238213116e-08,425.78316404612787
xgboost_weighted,17,0.02457852330760847,0.0275049115913556,0.8860759493670886,0.053353658536585365,0.9158289066173952,0.12,0.0275049115913556,0.8860759493670886,0.053353658536585365,0.12,292500,0.0275049115913556,0.8860759493670886,0.053353658536585365,9,2475,322,10,0.10550862806421671,0.021479280191806126,0.7021254531887106,0.8068427158849223,4.462235107959963e-07,0.010400089834200762,2.962766432950296e-06,1004.9314480148997
xgboost_weighted,18,0.8287806787045756,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.974209939032365,0.7100000000000001,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.03,76500,0.810126582278481,0.810126582278481,0.810126582278481,15,15,747,8,0.07414516619191147,0.0966324176043152,0.7861983638172064,0.9471687426557791,5.890701741600644e-05,0.07474826264493978,1.1289232449676366e-07,737.5461811522981
xgboost_weighted,19,0.8374000791696609,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9711523745655604,0.2,0.9402985074626866,0.7974683544303798,0.863013698630137,0.01,76900,0.7710843373493976,0.810126582278481,0.7901234567901234,15,19,500,5,0.14293734603790176,0.46166558504424554,0.9242486806145318,0.6200392464368687,0.004372210909396221,2.41989485936052e-05,1.2847481685430756e-08,145.07082043482097
xgboost_weighted,20,0.8260303715491415,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9739172053393289,0.6900000000000001,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.01,75900,0.5241935483870968,0.8227848101265823,0.6403940886699507,14,59,932,11,0.03041998525590357,0.03412920250252413,0.65477426123904,0.7260333582101641,0.7950873781446237,9.975855152804495e-07,9.68160589423946e-07,558.3032534609752
xgboost_weighted,21,0.8455514871288121,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9756740248934944,0.19,0.9402985074626866,0.7974683544303798,0.863013698630137,0.02,71400,0.8227848101265823,0.8227848101265823,0.8227848101265823,14,14,542,5,0.1422854353171228,0.5009667965934499,0.9072673037895492,0.5845615570970245,0.005195481701495655,0.002322800383891872,2.0615055320153454e-08,154.32633893805067
xgboost_weighted,22,0.8260051013312996,0.8378378378378378,0.7848101265822784,0.8104575163398693,0.9699775440978822,0.72,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.09999999999999999,63300,0.67,0.8481012658227848,0.7486033519553073,12,33,357,3,0.13893584344976143,2.4761675463507085,0.8603499158982207,0.5281615018840327,3.9777199340748046e-05,0.0024399695222269827,8.801720184189724e-08,307.1092310336397
xgboost_weighted,23,0.8280264715204371,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.9697365675026645,0.87,0.953125,0.7721518987341772,0.8531468531468531,0.01,70600,0.5409836065573771,0.8354430379746836,0.6567164179104478,13,56,634,5,0.0780942345336503,0.6117241725774754,0.9406661114568259,0.6230397737130587,0.37662390995418077,0.0020896147520531004,1.0643083278007192e-07,231.11562182364906
