model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
lightgbm_balanced,0,0.8325560336658958,0.9,0.7974683544303798,0.8456375838926175,0.9722515172342788,0.88,0.9402985074626866,0.7974683544303798,0.863013698630137,0.01,70700,0.5365853658536586,0.8354430379746836,0.6534653465346535,13,57,574,0.1667521176194013,192,8,23,0.5779972601681014,0.5290418060840998,0.6245760287469887,0.002570603566117596
lightgbm_balanced,1,0.8064584971692363,0.8181818181818182,0.7974683544303798,0.8076923076923077,0.9783432719946796,0.59,0.8289473684210527,0.7974683544303798,0.8129032258064516,0.03,65300,0.39766081871345027,0.8607594936708861,0.544,11,103,908,0.005394455304087533,249,11,29,0.5909124836035503,0.5917022549267169,5.472429642032189e-06,0.00052821153945323
lightgbm_balanced,2,0.7843950428374344,0.4049079754601227,0.8354430379746836,0.5454545454545454,0.9752726291214372,0.98,0.8970588235294118,0.7721518987341772,0.8299319727891157,0.39,69700,0.31627906976744186,0.8607594936708861,0.46258503401360546,11,147,632,0.014639847680621753,163,4,38,0.6831809216468459,0.728034992108518,0.11656915613247415,6.267062696005991e-07
lightgbm_balanced,3,0.8145143210547254,0.8048780487804879,0.8354430379746836,0.8198757763975155,0.9680430530009377,0.91,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.51,66500,0.8148148148148148,0.8354430379746836,0.825,13,15,714,0.04446862319918233,27,9,24,0.5325257964926398,0.9744427686266666,4.905556676028766,0.1886149587855396
lightgbm_balanced,4,0.7010079989069699,0.6881720430107527,0.810126582278481,0.7441860465116279,0.9765136864132054,0.75,0.8205128205128205,0.810126582278481,0.8152866242038217,0.29000000000000004,71300,0.5116279069767442,0.8354430379746836,0.6346153846153846,13,63,504,0.0071688020821370525,180,7,19,0.7475884550556351,0.5171942605576092,1.5271567592511939,2.133142332373e-06
lightgbm_balanced,5,0.8192156568565807,0.8311688311688312,0.810126582278481,0.8205128205128205,0.9727894014820339,0.9500000000000001,0.9402985074626866,0.7974683544303798,0.863013698630137,0.02,68400,0.33663366336633666,0.8607594936708861,0.48398576512455516,11,134,863,0.015788826347222444,141,8,26,0.9847923138822793,0.8875664116805573,2.8542399074977594,1.1309571585271492
lightgbm_balanced,6,0.8443754058320131,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.9766681229147595,0.45,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.01,66200,0.8461538461538461,0.8354430379746836,0.8407643312101911,13,12,798,0.14992285132527539,37,4,10,0.6626651653816322,0.6943386448447411,2.7678419414850017e-06,0.287499823474079
lightgbm_balanced,7,0.7636378929006147,0.3435897435897436,0.8481012658227848,0.48905109489051096,0.9731333357449543,0.9,0.8048780487804879,0.8354430379746836,0.8198757763975155,0.9,66600,0.8048780487804879,0.8354430379746836,0.8198757763975155,13,16,557,0.014094313993387368,146,4,98,0.5372753218398854,0.9934434683002586,0.08916674715636552,6.143857495033091e-07
lightgbm_balanced,8,0.8393230964329939,0.863013698630137,0.7974683544303798,0.8289473684210527,0.9662538156946443,0.79,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.03,71800,0.7831325301204819,0.8227848101265823,0.8024691358024691,14,18,205,0.10124839170683374,186,10,94,0.5370223258670452,0.6792328642721364,1.1036250149900698e-07,0.5860448217200526
lightgbm_balanced,9,0.8338258836439343,0.8513513513513513,0.7974683544303798,0.8235294117647058,0.9737527513349714,0.8400000000000001,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.060000000000000005,69400,0.6,0.8354430379746836,0.6984126984126984,13,44,823,0.01694683071232564,31,6,42,0.864803089169032,0.8187787356776066,0.9658611176861261,0.0001778010520878397
lightgbm_balanced,10,0.8356151930053776,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9703134087057664,0.75,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.09999999999999999,75800,0.8888888888888888,0.810126582278481,0.847682119205298,15,8,1163,0.05926706407341126,84,12,70,0.7990877054953649,0.7113756625097372,0.00028185317575043605,5.2059404028917625e-08
