model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,smote_sampling_strategy,smote_k_neighbors,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
smote_lightgbm,0,0.8204560370109367,0.8289473684210527,0.7974683544303798,0.8129032258064516,0.9660378828564353,0.87,0.953125,0.7721518987341772,0.8531468531468531,0.05,75000,0.39759036144578314,0.8354430379746836,0.5387755102040817,13,100,0.21854305348131312,10,932,0.045504758132021865,53,4,11,0.9330880728874675,0.8005575058716043,0.02358594058414266,1.5320059381854043e-08
smote_lightgbm,1,0.7477742260579611,0.378698224852071,0.810126582278481,0.5161290322580645,0.9723430660793442,0.89,0.8823529411764706,0.759493670886076,0.8163265306122449,0.46,83600,0.32338308457711445,0.8227848101265823,0.4642857142857143,14,136,0.48645943347289744,9,412,0.009778325945801386,60,6,65,0.7159725093210578,0.645614570099021,0.0032112643094417484,1.8007140198129195e-07
smote_lightgbm,2,0.8313785080418139,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.960262792490212,0.97,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.09,80600,0.9130434782608695,0.7974683544303798,0.8513513513513513,16,6,0.18146509184084816,5,656,0.09054594344647797,64,8,73,0.5232252063599989,0.8037724259507192,3.425445902633376e-07,3.850031979199519e-08
smote_lightgbm,3,0.828396720514192,0.8205128205128205,0.810126582278481,0.8152866242038217,0.9733242248261545,0.8300000000000001,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.19,63900,0.6320754716981132,0.8481012658227848,0.7243243243243244,12,39,0.476998491764,10,1009,0.015380821666156693,39,9,56,0.5610191174223894,0.7475884550556351,2.039373116525212e-08,1.5271567592511939
smote_lightgbm,4,0.8123212453399175,0.6153846153846154,0.810126582278481,0.6994535519125683,0.9681549151155769,0.9400000000000001,0.9375,0.759493670886076,0.8391608391608392,0.16,71700,0.28936170212765955,0.8607594936708861,0.43312101910828027,11,167,0.16645099172000763,8,512,0.0340525919132447,147,4,117,0.8875664116805573,0.9697494707820946,1.1309571585271492,0.002404915432737351
smote_lightgbm,5,0.722546699381586,0.42,0.7974683544303798,0.5502183406113537,0.9759147232247455,0.81,0.8939393939393939,0.7468354430379747,0.8137931034482758,0.42000000000000004,83000,0.3333333333333333,0.8227848101265823,0.4744525547445255,14,130,0.46484340576040256,3,396,0.005907814282530534,94,6,36,0.9143687545759647,0.6783766633467947,3.3760633488778465e-06,0.0007660634613082907
smote_lightgbm,6,0.8235354239306645,0.8767123287671232,0.810126582278481,0.8421052631578947,0.9646192931538717,0.77,0.9411764705882353,0.810126582278481,0.8707482993197279,0.03,71000,0.5238095238095238,0.8354430379746836,0.6439024390243903,13,60,0.1134159012386432,9,274,0.19055576023698442,202,4,5,0.9077307142274171,0.8534286719238086,0.0363969097981129,0.08738424135626989
smote_lightgbm,7,0.8274291837718184,0.9402985074626866,0.7974683544303798,0.863013698630137,0.970954528885191,0.47000000000000003,0.9402985074626866,0.7974683544303798,0.863013698630137,0.01,73800,0.6310679611650486,0.8227848101265823,0.7142857142857143,14,38,0.08332009328034067,5,315,0.1207017234656905,166,6,12,0.6554911608578311,0.6625916610133735,0.03685153691188181,0.005470376807480385
smote_lightgbm,8,0.8245266031625222,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9649426358832516,0.91,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,69800,0.5789473684210527,0.8354430379746836,0.6839378238341969,13,48,0.44924573415934693,6,319,0.0694433945478456,199,8,94,0.7468977981821954,0.7613664146909971,7.04480806377519e-05,1.6934490731313353e-08
smote_lightgbm,9,0.8237362526495364,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9717890425215168,0.33,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.01,77600,0.7111111111111111,0.810126582278481,0.757396449704142,15,26,0.098551142146987,3,837,0.01594362770228301,138,12,33,0.7051914615178149,0.8777755692715243,1.1459970229341322e-06,4.929685216887945e-08
smote_lightgbm,10,0.826606680080039,0.810126582278481,0.810126582278481,0.810126582278481,0.9813476880438321,0.88,0.953125,0.7721518987341772,0.8531468531468531,0.21000000000000002,63500,0.6568627450980392,0.8481012658227848,0.7403314917127072,12,35,0.3234603806977676,6,694,0.025803442133388213,247,12,86,0.5078629769267746,0.539507620086958,8.536188349288985,9.169616976466295e-06
smote_lightgbm,11,0.8389910055962756,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9737919865542851,0.45,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.03,64400,0.6036036036036037,0.8481012658227848,0.7052631578947368,12,44,0.32785451284685946,7,1170,0.07474766663245654,19,9,61,0.5023735411654935,0.7590795828321593,3.8085092945416025e-08,9.359331819851889
smote_lightgbm,12,0.8381319661904099,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9710193643894471,0.62,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,76400,0.8205128205128205,0.810126582278481,0.8152866242038217,15,14,0.2848051434209055,5,1184,0.08047864774972951,16,9,71,0.5829978579849482,0.9318657440733,1.0629104556663006e-08,1.1901121202198543e-05
smote_lightgbm,13,0.8385187902289172,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9739027356130573,0.51,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.06999999999999999,62700,0.7127659574468085,0.8481012658227848,0.7745664739884393,12,27,0.31073326200387247,7,1199,0.058425866494277966,17,10,48,0.6043118494053108,0.9724211915821481,1.6448952940934922e-08,6.101206772939144
