model_name,family,imbalance_strategy,type,default_threshold,best_f1_threshold,best_cost_threshold,minimum_business_cost,default_accuracy,default_precision,default_recall,default_f1_score,default_roc_auc,default_pr_auc,default_true_negatives,default_false_positives,default_false_negatives,default_true_positives,best_f1_accuracy,best_f1_precision,best_f1_recall,best_f1_f1_score,best_f1_roc_auc,best_f1_pr_auc,best_f1_true_negatives,best_f1_false_positives,best_f1_false_negatives,best_f1_true_positives,best_cost_accuracy,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_roc_auc,best_cost_pr_auc,best_cost_true_negatives,best_cost_false_positives,best_cost_false_negatives,best_cost_true_positives
bagging_decision_tree,ensemble,base_estimator_class_weight,supervised,0.5,0.59,0.3,89300,0.9992758234764862,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9651435424672552,0.6890023158497711,45478,12,21,58,0.9993636024490333,0.8787878787878788,0.7341772151898734,0.8,0.9651435424672552,0.6890023158497711,45482,8,21,58,0.9986833154117931,0.5904761904761905,0.7848101265822784,0.6739130434782609,0.9651435424672552,0.6890023158497711,45447,43,17,62
random_undersampling_lightgbm,resampling_pipeline,random_undersampling,supervised,0.5,0.99,0.99,108800,0.9580416511224736,0.0350076103500761,0.8734177215189873,0.06731707317073171,0.9787570505132579,0.6868326748206486,43588,1902,10,69,0.9901029208453115,0.13095238095238096,0.8354430379746836,0.22641509433962265,0.9787570505132579,0.6868326748206486,45052,438,13,66,0.9901029208453115,0.13095238095238096,0.8354430379746836,0.22641509433962265,0.9787570505132579,0.6868326748206486,45052,438,13,66
extra_tree_balanced,tree,class_weight_balanced,supervised,0.5,0.98,0.97,94900,0.9765849590730541,0.05655296229802514,0.7974683544303798,0.10561609388097234,0.9113964398908092,0.6817805807048283,44439,1051,16,63,0.9989466523294345,0.6741573033707865,0.759493670886076,0.7142857142857143,0.9113964398908092,0.6817805807048283,45461,29,19,60,0.9985297022098356,0.5545454545454546,0.7721518987341772,0.6455026455026455,0.9113964398908092,0.6817805807048283,45441,49,18,61
logistic_regression_balanced,linear,class_weight_balanced,supervised,0.5,0.99,0.99,87000,0.9746099321907437,0.05747126436781609,0.8860759493670886,0.1079414032382421,0.9764123983293032,0.6815098975219482,44342,1148,9,70,0.9981127520902368,0.47368421052631576,0.7974683544303798,0.5943396226415094,0.9764123983293032,0.6815098975219482,45420,70,16,63,0.9981127520902368,0.47368421052631576,0.7974683544303798,0.5943396226415094,0.9764123983293032,0.6815098975219482,45420,70,16,63
rusboost,imbalance_ensemble,random_under_sampling_boosting,supervised,0.5,0.8,0.7100000000000001,84900,0.9868112093747943,0.10213414634146341,0.8481012658227848,0.18231292517006803,0.9762928839555779,0.6800072569749517,44901,589,12,67,0.9992319339902126,0.8142857142857143,0.7215189873417721,0.7651006711409396,0.9762928839555779,0.6800072569749517,45477,13,22,57,0.9964230068687046,0.3037383177570093,0.8227848101265823,0.44368600682593856,0.9762928839555779,0.6800072569749517,45341,149,14,65
smote_logistic_regression,resampling_pipeline,smote,supervised,0.5,0.99,0.99,89100,0.9737101977221356,0.05489260143198091,0.8734177215189873,0.10329341317365269,0.9737492730353869,0.6727566511230069,44302,1188,10,69,0.9976519124843644,0.4090909090909091,0.7974683544303798,0.5407725321888412,0.9737492730353869,0.6727566511230069,45399,91,16,63,0.9976519124843644,0.4090909090909091,0.7974683544303798,0.5407725321888412,0.9737492730353869,0.6727566511230069,45399,91,16,63
smote_tomek_logistic_regression,resampling_pipeline,smote_tomek,supervised,0.5,0.99,0.99,89100,0.9737101977221356,0.05489260143198091,0.8734177215189873,0.10329341317365269,0.9737492730353869,0.6727566511230069,44302,1188,10,69,0.9976519124843644,0.4090909090909091,0.7974683544303798,0.5407725321888412,0.9737492730353869,0.6727566511230069,45399,91,16,63,0.9976519124843644,0.4090909090909091,0.7974683544303798,0.5407725321888412,0.9737492730353869,0.6727566511230069,45399,91,16,63
adaboost,boosting,none_baseline,supervised,0.5,0.4,0.38,77200,0.9989466523294345,0.8444444444444444,0.4810126582278481,0.6129032258064516,0.975972462997849,0.6418142255241672,45483,7,41,38,0.9993197129627598,0.8157894736842105,0.7848101265822784,0.8,0.975972462997849,0.6418142255241672,45476,14,17,62,0.999188044503939,0.7441860465116279,0.810126582278481,0.7757575757575758,0.975972462997849,0.6418142255241672,45468,22,15,64
random_undersampling_xgboost,resampling_pipeline,random_undersampling,supervised,0.5,0.99,0.9500000000000001,83400,0.9658978691654414,0.043343653250773995,0.8860759493670886,0.08264462809917356,0.9772448249858781,0.6388438930599927,43945,1545,9,70,0.9991222102745287,0.7294117647058823,0.7848101265822784,0.7560975609756098,0.9772448249858781,0.6388438930599927,45467,23,17,62,0.995676885602054,0.264,0.8354430379746836,0.4012158054711246,0.9772448249858781,0.6388438930599927,45306,184,13,66
linear_svc_balanced,svm,class_weight_balanced,supervised,0.5,0.4,0.38,84700,0.9987710943843402,0.8108108108108109,0.379746835443038,0.5172413793103449,0.9729249160338481,0.636576051647096,45483,7,49,30,0.9990783207882552,0.7402597402597403,0.7215189873417721,0.7307692307692307,0.9729249160338481,0.636576051647096,45470,20,22,57,0.9986174811823828,0.5727272727272728,0.7974683544303798,0.6666666666666666,0.9729249160338481,0.636576051647096,45443,47,16,63
