model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_precision,best_f1_recall,best_f1_score,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,run_id,status,start_time,end_time
extra_trees_balanced,32,0.8227375964595998,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.9611500371482395,0.9393939393939394,0.7848101265822784,0.8551724137931035,61400.0,0.5151515151515151,0.8607594936708861,0.6445497630331753,11.0,64.0,a90ac1640fa44d2e89d01a1708f043ab,FINISHED,2026-06-18 14:26:54.081000+00:00,2026-06-18 14:28:38.089000+00:00
extra_trees_balanced,31,0.821760008760188,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.960961930706707,0.9393939393939394,0.7848101265822784,0.8551724137931035,61300.0,0.5190839694656488,0.8607594936708861,0.6476190476190476,11.0,63.0,dd887bc404d244cc80e6aaa197e49af4,FINISHED,2026-06-18 14:25:02.459000+00:00,2026-06-18 14:26:54.075000+00:00
extra_trees_balanced,27,0.8211533973779392,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.9768524727927406,0.9393939393939394,0.7848101265822784,0.8551724137931035,61400.0,0.5151515151515151,0.8607594936708861,0.6445497630331753,11.0,64.0,9a1d236810e74daeaabd3d1035edb517,FINISHED,2026-06-18 14:21:32.365000+00:00,2026-06-18 14:23:16.067000+00:00
extra_trees_balanced,14,0.8203796587656285,0.9375,0.759493670886076,0.8391608391608392,0.9480461695573655,0.9117647058823529,0.7848101265822784,0.8435374149659864,63600.0,0.44155844155844154,0.8607594936708861,0.5836909871244635,11.0,86.0,f80d3e906175426c8dfd18341fb2bd78,FINISHED,2026-06-18 13:59:27.066000+00:00,2026-06-18 14:01:01.328000+00:00
extra_trees_balanced,23,0.8201089639402188,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.953658614635015,0.9253731343283582,0.7848101265822784,0.8493150684931506,62200.0,0.4857142857142857,0.8607594936708861,0.6210045662100456,11.0,72.0,ea32baa8eb6444e0b142e132bb9a51ef,FINISHED,2026-06-18 14:11:30.867000+00:00,2026-06-18 14:14:04.686000+00:00
extra_trees_balanced,24,0.8162347587343349,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.959957258654705,0.8985507246376812,0.7848101265822784,0.8378378378378378,62300.0,0.48226950354609927,0.8607594936708861,0.6181818181818182,11.0,73.0,74cfbc8412614637a272ad3013cefd16,FINISHED,2026-06-18 14:14:04.728000+00:00,2026-06-18 14:16:26.183000+00:00
extra_trees_balanced,25,0.8150757211289363,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9588519941787179,0.9117647058823529,0.7848101265822784,0.8435374149659864,62100.0,0.4892086330935252,0.8607594936708861,0.6238532110091743,11.0,71.0,8a6004d89b434133a75dc3937c303824,FINISHED,2026-06-18 14:16:26.193000+00:00,2026-06-18 14:18:56.625000+00:00
extra_trees_balanced,6,0.8144642631819612,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9597616390860698,0.8985507246376812,0.7848101265822784,0.8378378378378378,62500.0,0.4755244755244755,0.8607594936708861,0.6126126126126126,11.0,75.0,0214ab664d0e41e1af8fd17f0e5fea03,FINISHED,2026-06-18 13:48:17.984000+00:00,2026-06-18 13:49:57.339000+00:00
extra_trees_balanced,12,0.8123609330384265,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9670368504971186,0.9117647058823529,0.7848101265822784,0.8435374149659864,62400.0,0.4788732394366197,0.8607594936708861,0.6153846153846154,11.0,74.0,3d0632d466ea457a8ad583e9d3b5a3aa,FINISHED,2026-06-18 13:55:14.333000+00:00,2026-06-18 13:57:18.493000+00:00
extra_trees_balanced,11,0.8110898418709932,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9778731450228314,0.9117647058823529,0.7848101265822784,0.8435374149659864,63600.0,0.44155844155844154,0.8607594936708861,0.5836909871244635,11.0,86.0,a09729af73884d49aac91f39a2576496,FINISHED,2026-06-18 13:53:17.819000+00:00,2026-06-18 13:55:14.318000+00:00
extra_trees_balanced,21,0.8093267297425979,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9702655473034831,0.9117647058823529,0.7848101265822784,0.8435374149659864,66900.0,0.36363636363636365,0.8607594936708861,0.5112781954887218,11.0,119.0,2f62ab981e584b64878292a6b4ede901,FINISHED,2026-06-18 14:07:27.038000+00:00,2026-06-18 14:09:23.587000+00:00
extra_trees_balanced,16,0.8071653450940246,0.8611111111111112,0.7848101265822784,0.8211920529801324,0.9642952547645748,0.8857142857142857,0.7848101265822784,0.8322147651006712,63400.0,0.4473684210526316,0.8607594936708861,0.5887445887445888,11.0,84.0,f9208075ebc2421b952bc93e9bf2a465,FINISHED,2026-06-18 14:03:12.663000+00:00,2026-06-18 14:04:59.611000+00:00
extra_trees_balanced,17,0.8044186567455974,0.7901234567901234,0.810126582278481,0.8,0.9655861213063935,0.9354838709677419,0.7341772151898734,0.8226950354609929,66000.0,0.5275590551181102,0.8481012658227848,0.6504854368932039,12.0,60.0,078a38968e684af6bbe57cdc57265e26,FINISHED,2026-06-18 14:04:59.631000+00:00,2026-06-18 14:05:53.681000+00:00
extra_trees_balanced,15,0.8041691345589055,0.8378378378378378,0.7848101265822784,0.8104575163398693,0.9639492335219036,0.8985507246376812,0.7848101265822784,0.8378378378378378,65800.0,0.536,0.8481012658227848,0.6568627450980392,12.0,58.0,c45105aeabd84adf9a12508508a01a41,FINISHED,2026-06-18 14:01:01.334000+00:00,2026-06-18 14:03:12.655000+00:00
extra_trees_balanced,20,0.8027832848402914,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9618260794554931,0.8857142857142857,0.7848101265822784,0.8322147651006712,65100.0,0.40236686390532544,0.8607594936708861,0.5483870967741935,11.0,101.0,9681509838be4148bad4fa560e29d3ab,FINISHED,2026-06-18 14:06:54.093000+00:00,2026-06-18 14:07:27.032000+00:00
extra_trees_balanced,26,0.8021045522274147,0.8266666666666667,0.7848101265822784,0.8051948051948052,0.9678975209463202,0.8857142857142857,0.7848101265822784,0.8322147651006712,64700.0,0.4121212121212121,0.8607594936708861,0.5573770491803278,11.0,97.0,391733dea58f42aead4f575257eac5ff,FINISHED,2026-06-18 14:18:56.646000+00:00,2026-06-18 14:21:32.354000+00:00
extra_trees_balanced,13,0.8008840073108321,0.8266666666666667,0.7848101265822784,0.8051948051948052,0.9686276855951091,0.8857142857142857,0.7848101265822784,0.8322147651006712,66500.0,0.5075757575757576,0.8481012658227848,0.6350710900473934,12.0,65.0,d639782f681f4009829afbfa046bbcce,FINISHED,2026-06-18 13:57:18.501000+00:00,2026-06-18 13:59:27.058000+00:00
extra_trees_balanced,18,0.8005483249576487,0.9090909090909091,0.759493670886076,0.8275862068965517,0.9627780204857932,0.9090909090909091,0.759493670886076,0.8275862068965517,71500.0,0.8125,0.8227848101265823,0.8176100628930818,14.0,15.0,60d48e558f9c41f7aa62207367b69d3a,FINISHED,2026-06-18 14:05:53.687000+00:00,2026-06-18 14:06:26.138000+00:00
extra_trees_balanced,22,0.7972260781832795,0.8157894736842105,0.7848101265822784,0.8,0.9734335825650929,0.8985507246376812,0.7848101265822784,0.8378378378378378,67200.0,0.35789473684210527,0.8607594936708861,0.5055762081784386,11.0,122.0,d74a52e5f7524e788abae72c96d92e0d,FINISHED,2026-06-18 14:09:23.604000+00:00,2026-06-18 14:11:30.843000+00:00
extra_trees_balanced,2,0.7947338226481062,0.7471264367816092,0.8227848101265823,0.7831325301204819,0.9788864432578032,0.8472222222222222,0.7721518987341772,0.8079470198675497,67000.0,0.3617021276595745,0.8607594936708861,0.5093632958801498,11.0,120.0,51816d341832485d8e07921e7b56d134,FINISHED,2026-06-18 13:46:01.553000+00:00,2026-06-18 13:46:46.242000+00:00
extra_trees_balanced,7,0.7937482891462184,0.7303370786516854,0.8227848101265823,0.7738095238095238,0.9800860392185236,0.8472222222222222,0.7721518987341772,0.8079470198675497,66700.0,0.5,0.8481012658227848,0.6291079812206573,12.0,67.0,ad3c8cd1e6004ba69b216361aece50bb,FINISHED,2026-06-18 13:49:57.347000+00:00,2026-06-18 13:50:42.115000+00:00
extra_trees_balanced,28,0.7921780294551847,0.8955223880597015,0.759493670886076,0.821917808219178,0.9638457193262674,0.9230769230769231,0.759493670886076,0.8333333333333334,72100.0,0.7558139534883721,0.8227848101265823,0.7878787878787878,14.0,21.0,0867986ca6b745c7b9ff40d44d51f63e,FINISHED,2026-06-18 14:23:16.078000+00:00,2026-06-18 14:23:51.372000+00:00
extra_trees_balanced,3,0.777170252620736,0.7065217391304348,0.8227848101265823,0.7602339181286549,0.9740930681663239,0.8695652173913043,0.759493670886076,0.8108108108108109,67400.0,0.475177304964539,0.8481012658227848,0.6090909090909091,12.0,74.0,cd4b837f7e104735a92ec83af8304032,FINISHED,2026-06-18 13:46:46.247000+00:00,2026-06-18 13:47:34.419000+00:00
extra_trees_balanced,30,0.774252446377574,0.8356164383561644,0.7721518987341772,0.8026315789473685,0.9706050293429354,0.9076923076923077,0.7468354430379747,0.8194444444444444,72000.0,0.7647058823529411,0.8227848101265823,0.7926829268292683,14.0,20.0,503be55274804bca928cdbe6c36f3d41,FINISHED,2026-06-18 14:24:29.809000+00:00,2026-06-18 14:25:02.452000+00:00
extra_trees_balanced,10,0.7712601191470584,0.7558139534883721,0.8227848101265823,0.7878787878787878,0.9764925383517313,0.810126582278481,0.810126582278481,0.810126582278481,66700.0,0.5,0.8481012658227848,0.6291079812206573,12.0,67.0,ee9141c76e244dd6bed250f72bbdd184,FINISHED,2026-06-18 13:51:21.671000+00:00,2026-06-18 13:53:17.810000+00:00
extra_trees_balanced,29,0.7688208205664735,0.7804878048780488,0.810126582278481,0.7950310559006211,0.9722085254514138,0.8805970149253731,0.7468354430379747,0.8082191780821918,68800.0,0.6346153846153846,0.8354430379746836,0.7213114754098361,13.0,38.0,aed20f3dd2dd45749ce2912b8402d513,FINISHED,2026-06-18 14:23:51.385000+00:00,2026-06-18 14:24:29.803000+00:00
extra_trees_balanced,19,0.7584651447999237,0.7619047619047619,0.810126582278481,0.7852760736196319,0.9722317604926385,0.8378378378378378,0.7848101265822784,0.8104575163398693,69000.0,0.6226415094339622,0.8354430379746836,0.7135135135135136,13.0,40.0,f1422453716b4fc9ae3eb83678bb27e7,FINISHED,2026-06-18 14:06:26.144000+00:00,2026-06-18 14:06:54.088000+00:00
extra_trees_balanced,9,0.7432609540513015,0.6989247311827957,0.8227848101265823,0.7558139534883721,0.9769152213172461,0.8591549295774648,0.7721518987341772,0.8133333333333334,71900.0,0.7738095238095238,0.8227848101265823,0.7975460122699386,14.0,19.0,57ecbb996e524280a355363c045f8164,FINISHED,2026-06-18 13:50:57.822000+00:00,2026-06-18 13:51:21.667000+00:00
extra_trees_balanced,8,0.733548930492425,0.7619047619047619,0.810126582278481,0.7852760736196319,0.9627401765863133,0.7901234567901234,0.810126582278481,0.8,70400.0,0.55,0.8354430379746836,0.6633165829145728,13.0,54.0,8a0aa20e5cb34fca9dc4e331634b14b1,FINISHED,2026-06-18 13:50:42.122000+00:00,2026-06-18 13:50:57.818000+00:00
extra_trees_balanced,0,0.730666831344612,0.6989247311827957,0.8227848101265823,0.7558139534883721,0.9668918749704345,0.8356164383561644,0.7721518987341772,0.8026315789473685,71000.0,0.5238095238095238,0.8354430379746836,0.6439024390243903,13.0,60.0,f8e85732d83e438b85210b8c6be980a7,FINISHED,2026-06-18 13:45:19.459000+00:00,2026-06-18 13:45:42.481000+00:00
extra_trees_balanced,5,0.7290482134983932,0.6632653061224489,0.8227848101265823,0.7344632768361582,0.9761085340775968,0.8472222222222222,0.7721518987341772,0.8079470198675497,70700.0,0.5365853658536586,0.8354430379746836,0.6534653465346535,13.0,57.0,0c34657c0bb54c58ae8fd3b6a2c59c85,FINISHED,2026-06-18 13:47:50.950000+00:00,2026-06-18 13:48:17.976000+00:00
extra_trees_balanced,4,0.7199601843932,0.6914893617021277,0.8227848101265823,0.7514450867052023,0.9725943384413323,0.8157894736842105,0.7848101265822784,0.8,72900.0,0.6914893617021277,0.8227848101265823,0.7514450867052023,14.0,29.0,3331c4fc76f249188bd370a7d214c627,FINISHED,2026-06-18 13:47:34.425000+00:00,2026-06-18 13:47:50.942000+00:00
