model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_precision,best_f1_recall,best_f1_score,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,run_id,status,start_time,end_time
lightgbm_balanced,90,0.8563453517276784,0.9027777777777778,0.8227848101265823,0.8609271523178808,0.9734580697941682,0.9154929577464789,0.8227848101265823,0.8666666666666667,69100.0,0.616822429906542,0.8354430379746836,0.7096774193548387,13.0,41.0,7ff264c6d2744b40ba8381be8cc02cc7,FINISHED,2026-06-18 13:13:01.610000+00:00,2026-06-18 13:13:15.059000+00:00
xgboost_weighted,67,0.8486133357559057,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9810329714974219,0.9130434782608695,0.7974683544303798,0.8513513513513513,71100.0,0.8552631578947368,0.8227848101265823,0.8387096774193549,14.0,11.0,3df34ea32493442785890c8635082f4d,FINISHED,2026-06-18 13:33:26.473000+00:00,2026-06-18 13:33:44.807000+00:00
smote_lightgbm,56,0.8483355266526652,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9733531642786981,0.927536231884058,0.810126582278481,0.8648648648648649,62500.0,0.7282608695652174,0.8481012658227848,0.783625730994152,12.0,25.0,3478585cd6804c51aad458ed62057933,FINISHED,2026-06-18 12:30:48.263000+00:00,2026-06-18 12:31:12.932000+00:00
extra_trees_balanced,32,0.8227375964595998,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.9611500371482395,0.9393939393939394,0.7848101265822784,0.8551724137931035,61400.0,0.5151515151515151,0.8607594936708861,0.6445497630331753,11.0,64.0,a90ac1640fa44d2e89d01a1708f043ab,FINISHED,2026-06-18 14:26:54.081000+00:00,2026-06-18 14:28:38.089000+00:00
