iter	Logloss
0	0.5852414168
1	0.5078014488
2	0.4518707331
3	0.3953336889
4	0.3464939396
5	0.3173566986
6	0.2879909155
7	0.269633562
8	0.2485664034
9	0.2143056804
10	0.1971859899
11	0.1768359835
12	0.1664480769
13	0.1560751212
14	0.144873463
15	0.1361740212
16	0.1314202415
17	0.1237056907
18	0.119031203
19	0.1161822242
20	0.1108602113
21	0.1043354408
22	0.1010637258
23	0.0984492711
24	0.09575779727
25	0.09146832262
26	0.08925564613
27	0.08540153648
28	0.08338768174
29	0.08148153744
30	0.07748149702
31	0.07408186768
32	0.07159609002
33	0.06909195062
34	0.06696001682
35	0.06566349012
36	0.06451165295
37	0.06225747282
38	0.06032763034
39	0.05841922088
40	0.05758401338
41	0.05648338715
42	0.05574895208
43	0.0549466423
44	0.05343651674
45	0.05128596435
46	0.05066563655
47	0.04954050034
48	0.04892731918
49	0.04749528812
50	0.04622576282
51	0.04537533479
52	0.04478442393
53	0.04366226239
54	0.04243046616
55	0.04163249808
56	0.04068926628
57	0.03951795737
58	0.03845518299
59	0.03758235544
60	0.03678309584
61	0.03593625005
62	0.03519761979
63	0.03446729434
64	0.03381791388
65	0.03286116234
66	0.03189820082
67	0.03100773728
68	0.03041250481
69	0.02952868695
70	0.02845315077
71	0.02809066291
72	0.0274540018
73	0.02683707162
74	0.02634362337
75	0.02562229663
76	0.02502619201
77	0.02456192763
78	0.02381753525
79	0.02342926448
80	0.02272130537
81	0.0222661731
82	0.02189275283
83	0.02122051081
84	0.02079773023
85	0.02028080998
86	0.01976219594
87	0.01939667249
88	0.01913816945
89	0.01894620019
90	0.01831854601
91	0.01796441038
92	0.01765355164
93	0.01745631158
94	0.01674617397
95	0.01661177671
96	0.01635574581
97	0.01619643325
98	0.01577058355
99	0.01530241289
100	0.01512755206
101	0.01489469272
102	0.01455163679
103	0.01434478738
104	0.01418993611
105	0.01399504248
106	0.01383580094
107	0.01364028485
108	0.01346830452
109	0.01320177633
110	0.01306793635
111	0.01295813726
112	0.01270480415
113	0.01249901964
114	0.01232138052
115	0.01206205414
